variable,dtype,n_total,n_valid,n_missing,missing_pct,n_unique,question_id,platform,concept,role,universe,structural_missing,candidate,selection_reason,final_status,exclusion_reason,eligible_n,valid_response_n,special_n,eligible_missing_n,eligible_missing_pct,routing_violation_n
XTSOURCE_c_W144,float64,10454,1143,9311,89.07,3,,,,,,,,,,,,,,,,
XTSOURCE_d_W144,float64,10454,1143,9311,89.07,3,,,,,,,,,,,,,,,,
XTSOURCE_e_W144,float64,10454,1143,9311,89.07,3,,,,,,,,,,,,,,,,
XTTYPE_a_W144,float64,10454,2565,7889,75.46,3,,,,,,,,,,,,,,,,
XTTYPE_b_W144,float64,10454,2565,7889,75.46,3,,,,,,,,,,,,,,,,
XTTYPE_c_W144,float64,10454,2565,7889,75.46,3,,,,,,,,,,,,,,,,
XTTYPE_d_W144,float64,10454,2565,7889,75.46,3,,,,,,,,,,,,,,,,
XTACC_W144,float64,10454,1143,9311,89.07,6,,,,,,,,,,,,,,,,
XTINFLUENCE_W144,float64,10454,1143,9311,89.07,5,,,,,,,,,,,,,,,,
XTELSE_W144,float64,10454,1143,9311,89.07,4,,,,,,,,,,,,,,,,
XTWORN_W144,float64,10454,1143,9311,89.07,6,,,,,,,,,,,,,,,,
XTHARASS_W144,float64,10454,2565,7889,75.46,4,,,,,,,,,,,,,,,,
XTSHARE_W144,float64,10454,2565,7889,75.46,3,,,,,,,,,,,,,,,,
XTSHAREPOL_W144,float64,10454,883,9571,91.55,6,,,,,,,,,,,,,,,,
XTWHYSP_a_W144,float64,10454,584,9870,94.41,4,,,,,,,,,,,,,,,,
XTWHYSP_b_W144,float64,10454,584,9870,94.41,4,,,,,,,,,,,,,,,,
XTWHYSP_c_W144,float64,10454,584,9870,94.41,4,,,,,,,,,,,,,,,,
XTWHYSP_d_W144,float64,10454,584,9870,94.41,4,,,,,,,,,,,,,,,,
XTWHYNTSP_a_W144,float64,10454,297,10157,97.16,4,,,,,,,,,,,,,,,,
XTWHYNTSP_b_W144,float64,10454,297,10157,97.16,3,,,,,,,,,,,,,,,,
XTWHYNTSP_c_W144,float64,10454,297,10157,97.16,3,,,,,,,,,,,,,,,,
XTWHYNTSP_d_W144,float64,10454,297,10157,97.16,3,,,,,,,,,,,,,,,,
XTSEEPOL_W144,float64,10454,2565,7889,75.46,6,,,,,,,,,,,,,,,,
XTPOLIDEO_W144,float64,10454,2354,8100,77.48,5,,,,,,,,,,,,,,,,
XTFREEEXP_W144,float64,10454,2565,7889,75.46,3,,,,,,,,,,,,,,,,
TTWHY_a_W144,float64,10454,2562,7892,75.49,4,TTWHY,TikTok,Get news,Outcome,Respondents eligible for TikTok module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2562,2553,9,0,0.0,0
TTWHY_b_W144,float64,10454,2562,7892,75.49,4,TTWHY,TikTok,Politics or political issues,Outcome,Respondents eligible for TikTok module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2562,2556,6,0,0.0,0
TTWHY_c_W144,float64,10454,2562,7892,75.49,4,TTWHY,TikTok,Sports or pop culture,Outcome,Respondents eligible for TikTok module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2562,2555,7,0,0.0,0
TTWHY_d_W144,float64,10454,2562,7892,75.49,4,TTWHY,TikTok,Entertainment,Outcome,Respondents eligible for TikTok module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2562,2555,7,0,0.0,0
TTWHY_e_W144,float64,10454,2562,7892,75.49,4,TTWHY,TikTok,Friends and family,Outcome,Respondents eligible for TikTok module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2562,2552,10,0,0.0,0
TTWHY_f_W144,float64,10454,2562,7892,75.49,4,TTWHY,TikTok,Shared interests,Outcome,Respondents eligible for TikTok module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2562,2555,7,0,0.0,0
TTWHY_g_W144,float64,10454,2562,7892,75.49,4,TTWHY,TikTok,Product reviews or recommendations,Outcome,Respondents eligible for TikTok module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2562,2553,9,0,0.0,0
TTDEMOCRACY_W144,float64,10454,2562,7892,75.49,4,,,,,,,,,,,,,,,,
TTSOURCE_a_W144,float64,10454,882,9572,91.56,3,,,,,,,,,,,,,,,,
TTSOURCE_b_W144,float64,10454,882,9572,91.56,3,,,,,,,,,,,,,,,,
TTSOURCE_c_W144,float64,10454,882,9572,91.56,3,,,,,,,,,,,,,,,,
TTSOURCE_d_W144,float64,10454,882,9572,91.56,3,,,,,,,,,,,,,,,,
TTSOURCE_e_W144,float64,10454,882,9572,91.56,3,,,,,,,,,,,,,,,,
TTTYPE_a_W144,float64,10454,2562,7892,75.49,3,,,,,,,,,,,,,,,,
TTTYPE_b_W144,float64,10454,2562,7892,75.49,3,,,,,,,,,,,,,,,,
TTTYPE_c_W144,float64,10454,2562,7892,75.49,3,,,,,,,,,,,,,,,,
TTTYPE_d_W144,float64,10454,2562,7892,75.49,3,,,,,,,,,,,,,,,,
TTACC_W144,float64,10454,882,9572,91.56,6,,,,,,,,,,,,,,,,
TTINFLUENCE_W144,float64,10454,882,9572,91.56,5,,,,,,,,,,,,,,,,
TTELSE_W144,float64,10454,882,9572,91.56,4,,,,,,,,,,,,,,,,
TTWORN_W144,float64,10454,882,9572,91.56,6,,,,,,,,,,,,,,,,
TTHARASS_W144,float64,10454,2562,7892,75.49,4,,,,,,,,,,,,,,,,
TTSHARE_W144,float64,10454,2562,7892,75.49,3,,,,,,,,,,,,,,,,
TTSHAREPOL_W144,float64,10454,849,9605,91.88,6,,,,,,,,,,,,,,,,
TTWHYSP_a_W144,float64,10454,282,10172,97.3,3,,,,,,,,,,,,,,,,
TTWHYSP_b_W144,float64,10454,282,10172,97.3,4,,,,,,,,,,,,,,,,
TTWHYSP_c_W144,float64,10454,282,10172,97.3,4,,,,,,,,,,,,,,,,
