table_id,platform,banner,category,unweighted_n,effective_n,weighting_deff
T09,Instagram,Region,West,1057,430.2203397277377,2.4568805851181184
T09,Instagram,Income,Lower income,997,390.4156434976893,2.55368865619213
T09,Instagram,Income,Middle income,2172,814.5627409395202,2.666461269140307
T09,Instagram,Income,Upper income,1103,518.9648976507699,2.125384597287827
T10,Instagram,Total,Total,4496,1668.1839065434297,2.695146489763208
T10,Instagram,Age,18-29,541,292.5862539742693,1.8490273984217207
T10,Instagram,Age,30-49,1965,747.7346213618516,2.627937698566289
T10,Instagram,Age,50-64,1218,655.9866373968919,1.8567451386407936
T10,Instagram,Age,65+,766,398.33349909905024,1.9230117520432928
T10,Instagram,Gender,A man,1600,559.9625750939028,2.8573338133029482
T10,Instagram,Gender,A woman,2842,1128.2451463433695,2.518956105604258
T10,Instagram,Gender,In some other way,44,24.04541108297973,1.8298709823740504
T10,Instagram,Education,College graduate+,2428,1194.1787240996207,2.0331964981461614
T10,Instagram,Education,Some College,1331,511.4499407771807,2.6024052285106554
T10,Instagram,Education,H.S. graduate or less,722,315.22911595069985,2.2903975662987834
T10,Instagram,Region,Northeast,780,326.80663336057563,2.3867324600458844
T10,Instagram,Region,Midwest,849,312.56750560328095,2.716213249235106
T10,Instagram,Region,South,1805,601.3802047675263,3.001429022256816
T10,Instagram,Region,West,1059,431.08130511453527,2.456613143357333
T10,Instagram,Income,Lower income,996,390.28159764444575,2.552003491866854
T10,Instagram,Income,Middle income,2175,815.5755573109224,2.6668283281702414
T10,Instagram,Income,Upper income,1103,518.7838578861338,2.126126291774664
T11,Instagram,Total,Total,4496,1669.2158034050362,2.6934803701406382
T11,Instagram,Age,18-29,542,293.4656898402594,1.8468939258113066
T11,Instagram,Age,30-49,1967,748.3112977532166,2.6285851969706475
T11,Instagram,Age,50-64,1217,656.1198548724786,1.8548440364398548
T11,Instagram,Age,65+,764,397.18264768185276,1.923548283035697
T11,Instagram,Gender,A man,1601,560.5871436734849,2.855934207675133
T11,Instagram,Gender,A woman,2841,1128.7198995017238,2.517010642989608
T11,Instagram,Gender,In some other way,44,24.04541108297973,1.8298709823740504
T11,Instagram,Education,College graduate+,2427,1194.3555683475333,2.0320581779159017
T11,Instagram,Education,Some College,1330,511.29470837244213,2.601239516508332
T11,Instagram,Education,H.S. graduate or less,725,317.17346743927186,2.2858154115265434
T11,Instagram,Region,Northeast,781,327.41897453247344,2.3853229676600196
T11,Instagram,Region,Midwest,849,312.07840091181384,2.72047023286276
T11,Instagram,Region,South,1804,601.7808704557606,2.997768936446476
T11,Instagram,Region,West,1059,431.41953382090907,2.454687182615176
T11,Instagram,Income,Lower income,997,392.0173447540973,2.5432548159964536
T11,Instagram,Income,Middle income,2173,813.6610110992312,2.6706453552006173
T11,Instagram,Income,Upper income,1102,517.7510813603839,2.1284359215716364
T12,Instagram,Total,Total,4501,1670.7875606968757,2.693939137374628
T12,Instagram,Age,18-29,542,293.4656898402594,1.8468939258113066
T12,Instagram,Age,30-49,1966,747.4875314379918,2.630144206175418
T12,Instagram,Age,50-64,1219,656.5250330036613,1.8567456513013143
T12,Instagram,Age,65+,768,398.84542070115083,1.9255580235819014
T12,Instagram,Gender,A man,1602,561.0240348938418,2.855492635539463
T12,Instagram,Gender,A woman,2845,1129.8454191124933,2.518043576469762
T12,Instagram,Gender,In some other way,44,24.04541108297973,1.8298709823740504
T12,Instagram,Education,College graduate+,2426,1192.7158414446897,2.034013396737887
T12,Instagram,Education,Some College,1334,512.736771537145,2.6017248499669168
T12,Instagram,Education,H.S. graduate or less,726,317.6718611795824,2.285377109902682
T12,Instagram,Region,Northeast,781,327.48497437587946,2.384842240436921
T12,Instagram,Region,Midwest,850,312.61784032484235,2.71897470444029
T12,Instagram,Region,South,1808,603.1736232259741,2.9974785540690787
T12,Instagram,Region,West,1059,430.9613246439113,2.4572970692324088
T12,Instagram,Income,Lower income,1001,392.8380571617667,2.5481237923641356
T12,Instagram,Income,Middle income,2175,814.997844476566,2.668718714706415
T12,Instagram,Income,Upper income,1102,518.2425822770243,2.126417314374469
T13,Instagram,Total,Total,4492,1666.3187201408814,2.695762788778018
T13,Instagram,Age,18-29,541,292.5862539742693,1.8490273984217207
T13,Instagram,Age,30-49,1962,745.3855075871119,2.632194991758281
T13,Instagram,Age,50-64,1217,655.938533932664,1.8553567705551697
T13,Instagram,Age,65+,766,398.8771410059388,1.9203908202616082
T13,Instagram,Gender,A man,1600,559.6850198300511,2.85875080323901
T13,Instagram,Gender,A woman,2838,1126.730725959149,2.5187916993957042
T13,Instagram,Gender,In some other way,44,24.04541108297973,1.8298709823740504
T13,Instagram,Education,College graduate+,2426,1193.4362476951121,2.0327855842198046
T13,Instagram,Education,Some College,1329,511.4393995638718,2.5985483346283065
T13,Instagram,Education,H.S. graduate or less,722,314.85179401716454,2.2931424045201383
T13,Instagram,Region,Northeast,778,324.9638983149704,2.394112096864143
T13,Instagram,Region,Midwest,849,312.59424464928486,2.715980906662359
T13,Instagram,Region,South,1806,602.5766645205549,2.9971290067081484
T13,Instagram,Region,West,1056,429.6054637336229,2.458069296471456
T13,Instagram,Income,Lower income,995,389.32706927580466,2.555691803939603
T13,Instagram,Income,Middle income,2171,814.1168306864312,2.666693425524072
T13,Instagram,Income,Upper income,1102,518.4131355809062,2.125717742018935
T14,Instagram,Total,Total,4501,1672.7351859819303,2.6908024878772543
T14,Instagram,Age,18-29,543,294.3954038863915,1.8444581431357745
T14,Instagram,Age,30-49,1968,748.9949787100827,2.62752095266284
T14,Instagram,Age,50-64,1219,657.1810667612377,1.8548921471635735
T14,Instagram,Age,65+,765,398.86062658742384,1.9179631906643568
T14,Instagram,Gender,A man,1602,562.3755815919592,2.8486300835912846
T14,Instagram,Gender,A woman,2845,1130.6968139114867,2.5161475339778505
T14,Instagram,Gender,In some other way,44,24.04541108297973,1.8298709823740504
T14,Instagram,Education,College graduate+,2427,1194.5933294301506,2.031653735382682
T14,Instagram,Education,Some College,1334,513.8104960629677,2.596287950950145
T14,Instagram,Education,H.S. graduate or less,725,317.25120781029113,2.285255287139941
T14,Instagram,Region,Northeast,780,326.84951418264535,2.386419334140823
T14,Instagram,Region,Midwest,853,315.09906009262085,2.7070851933016478
T14,Instagram,Region,South,1806,602.9671717926923,2.995187938060624
T14,Instagram,Region,West,1059,431.2476603803219,2.455665496401897
T14,Instagram,Income,Lower income,999,392.7151396870176,2.543828589842942
T14,Instagram,Income,Middle income,2173,815.4184263358708,2.664889496996652
T14,Instagram,Income,Upper income,1104,519.3723122136347,2.125642769239283
T15,X,Total,Total,2555,1051.288272105408,2.430351472373147
T15,X,Age,18-29,314,174.20261806796262,1.8024987424557388
T15,X,Age,30-49,1032,447.6671966413594,2.305283942497061
T15,X,Age,50-64,757,439.78687876279474,1.7212882797449232
T15,X,Age,65+,447,254.2502300657635,1.7581105035160853
T15,X,Gender,A man,1409,545.9790275861255,2.580685207322798
T15,X,Gender,A woman,1115,528.947639283517,2.107959119564872
T15,X,Gender,In some other way,29,16.091020499296476,1.8022474088121336
T15,X,Education,College graduate+,1462,728.3544519994435,2.0072644520625746
T15,X,Education,Some College,738,317.419773803087,2.3249969312177194
T15,X,Education,H.S. graduate or less,350,179.0331168784067,1.9549455771230766
T15,X,Region,Northeast,423,206.9669785162844,2.043804296861385
T15,X,Region,Midwest,503,190.45362264331132,2.6410629160991976
T15,X,Region,South,1088,422.5490765066893,2.574848841215669
T15,X,Region,West,540,233.9282002894869,2.3084006089550053
T15,X,Income,Lower income,526,235.75415133243376,2.2311378061728995
T15,X,Income,Middle income,1220,489.5562287471951,2.4920528600403187
T15,X,Income,Upper income,717,384.0644182990914,1.866874320655328
T16,X,Total,Total,2554,1049.1565425896224,2.434336437245092
T16,X,Age,18-29,314,174.01567170413628,1.8044351806075656
T16,X,Age,30-49,1033,447.83866301541156,2.3066342531583772
T16,X,Age,50-64,752,437.2097554963417,1.7199982172087929
T16,X,Age,65+,450,255.54453826375348,1.7609454815878103
T16,X,Gender,A man,1410,545.402639817585,2.5852460128751624
T16,X,Gender,A woman,1113,527.5562645314885,2.109727577566407
T16,X,Gender,In some other way,29,16.091020499296476,1.8022474088121336
T16,X,Education,College graduate+,1461,728.2176923225178,2.0062682016697595
T16,X,Education,Some College,738,317.56305408098365,2.3239479231478803
T16,X,Education,H.S. graduate or less,350,179.08299482050475,1.9544010884495522
T16,X,Region,Northeast,422,206.62692044345147,2.04232826533119
T16,X,Region,Midwest,499,189.0634738261237,2.639325248296856
T16,X,Region,South,1091,423.246789385912,2.5776923236273803
T16,X,Region,West,541,233.08550724560575,2.321036628973847
T16,X,Income,Lower income,524,234.93151726571014,2.230437218891113
T16,X,Income,Middle income,1221,489.96702613338545,2.492004430656529
T16,X,Income,Upper income,716,372.357748080483,1.9228819695333441
T17,X,Total,Total,2555,1049.5278440548327,2.434428028253926
T17,X,Age,18-29,316,175.22627269505824,1.8033825358479583
T17,X,Age,30-49,1030,447.4755884087859,2.301801543325881
T17,X,Age,50-64,755,438.14664647208724,1.723167359785095
T17,X,Age,65+,449,254.95522790774513,1.761093520947409
T17,X,Gender,A man,1409,544.1254374821729,2.5894764385944793
T17,X,Gender,A woman,1115,532.092567432649,2.0955000468807223
T17,X,Gender,In some other way,29,16.091020499296476,1.8022474088121336
T17,X,Education,College graduate+,1463,728.7412660712603,2.007571230166812
T17,X,Education,Some College,736,315.8063092788505,2.3305424191197113
T17,X,Education,H.S. graduate or less,351,178.9709724615757,1.9612118947130277
T17,X,Region,Northeast,421,207.5729153599497,2.0282029535016597
T17,X,Region,Midwest,503,190.45362264331132,2.6410629160991976
T17,X,Region,South,1090,423.11191346911653,2.5761505769550035
T17,X,Region,West,540,232.0729183948472,2.326854868439444
